"variable","value_metro","value_prop"
"before 1949",315499,13.62
"1950 to 1969",506027,21.85
"1970 to 1979",338545,14.62
"1980 to 1989",373757,16.14
"1990 to 1999",337334,14.56
"2000 to 2009",349750,15.1
"2010 to 2017",95429,4.12
