"variable","value","value_prop"
"before 1949",13451,14.21
"1950 to 1969",10049,10.61
"1970 to 1979",13157,13.9
"1980 to 1989",16551,17.48
"1990 to 1999",20754,21.92
"2000 to 2009",17074,18.03
"2010 to 2016",3652,3.86
