"variable","value_metro","value_metro_prop"
"2000 to 2009",353430,15.35
"1990 to 1999",332994,14.46
"1980 to 1989",376002,16.33
"1970 to 1979",340670,14.79
"1960 to 1969",287385,12.48
"1950 to 1959",225332,9.78
"1940 to 1949",120836,5.25
"before 1940",197686,8.58
"2010 to 2016",68758,2.99
