"variable","value","value_prop"
"before 1949",31285,9.47
"1950 to 1969",109864,33.26
"1970 to 1979",51639,15.63
"1980 to 1989",46137,13.97
"1990 to 1999",47201,14.29
"2000 to 2009",35390,10.71
"2010 to 2016",8810,2.67
