"variable","value","value_prop"
"before 1949",37843,9.79
"1950 to 1969",102205,26.44
"1970 to 1979",62837,16.25
"1980 to 1989",80870,20.92
"1990 to 1999",48106,12.44
"2000 to 2009",41657,10.78
"2010 to 2016",13069,3.38
