estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2008-2012,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2008-2012,FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5
2008-2012,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2008-2012,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2008-2012,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2008-2012,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2008-2012,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2008-2012,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2008-2012,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2008-2012,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2008-2012,Total_population,605759,88774,147107,234268,974824,865443,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545
2008-2012,percent_below_18,0.17166232775740847,0.2604929371212292,0.26254359071968025,0.2516732972493042,0.23889337972803296,0.2381924632818106,0.1579609426192264,0.22788658700417166,0.2554697829146586,0.2412135416186091,0.25072142911672646,0.303006540097784,0.2869377318934385,0.19422043010752688,0.2760349683363993,0.2853545107612441,0.23949210743471663,0.17149433150202725,0.20147939415287072,0.24577235772357722,0.20058559281244986,0.28255541206546664,0.2852383926712471,0.23580166215332898
2008-2012,percent_above_65,0.11398097263102983,0.10970554441615789,0.09551550911921254,0.11244813632250243,0.12428499913830598,0.09583877852152019,0.08739842259072017,0.1643215725093686,0.12020727598413443,0.09984221744466076,0.12935338575463776,0.0667851927106483,0.069173859127598,0.19946236559139785,0.09970371335080665,0.07492699658544875,0.12950195650437885,0.0927196676571396,0.13798872842550194,0.10382113821138211,0.09983154179367881,0.0739266794929236,0.05822749670344923,0.11847978335979083
2008-2012,percent_AA,0.5105380192452774,0.13728118593281816,0.40703025688784356,0.0864864172656957,0.1716371365497772,0.6421139231584286,0.08485868842579528,0.05649437884465813,0.14984859470294706,0.09162276128698894,0.08234216352393313,0.07438885008571973,0.20002920712554856,0.05,0.15817148810783532,0.17299105418475658,0.039316421327228686,0.21803943364900205,0.04750792532581895,0.05154471544715447,0.23463821594737685,0.14258229449437315,0.1301964050246374,0.062414791297039876
2008-2012,percent_NonWhite,0.6047718647184771,0.18453601279653953,0.48951443507107073,0.17537606501955025,0.4245443280017726,0.78179614370906,0.28639209477847877,0.0946051049989394,0.23039194779715955,0.3623278001790048,0.12666615772196352,0.29877770017143945,0.40029355636356434,0.07836021505376344,0.24838426099272307,0.2871390386724966,0.0819868501610456,0.3643087710297356,0.2791916167664671,0.22495934959349592,0.3494304508262474,0.2745961046833408,0.3858699423971129,0.11874124568120273
2008-2012,percent_FamilyHouseholds,0.41977931942785385,0.7591538362013197,0.7467794276723375,0.723956567982328,0.684005492492568,0.6596075762431323,0.4488343083275981,0.7292114695340501,0.7481991659294831,0.7089318628813857,0.7446485172159264,0.7759393444982965,0.7734008006602747,0.6599511599511599,0.79879168680522,0.8110377633239492,0.690431388946965,0.46988212393208606,0.6871698556168564,0.6326950792670373,0.504482225656878,0.7402381150611939,0.7596446107084405,0.703137610976594
2008-2012,percent_MarriedCoupleFamily,0.22256424392783852,0.6015978781213611,0.5387943750614613,0.5812830912002244,0.5333394858199167,0.389364450596829,0.35962233310392294,0.6198924731182796,0.5928219385820801,0.5830192662156457,0.6174721028179411,0.6531983300542252,0.5980731701673055,0.568070818070818,0.6182938617689705,0.6643287059508786,0.5364136873649732,0.35158893231781735,0.5655593379504636,0.5305744286596664,0.315816589386914,0.5419199067521439,0.5405658171615618,0.5617433414043583
2008-2012,percent_less_than_bachelors,0.4587022556967362,0.6320801490827649,0.6584518101300278,0.5485778635778635,0.3792916478190146,0.6450308321369379,0.2502302025782689,0.6194251734390486,0.6992137560726157,0.36628281510433974,0.5996660499119997,0.3637420713540705,0.5496605471576508,0.6215484569572279,0.6361265867867409,0.5637434505871025,0.7275657403403955,0.35037202660553907,0.39424225281287323,0.24838168304962838,0.6119869435377456,0.6547670127864069,0.69170049616599,0.654266221186512
2008-2012,percent_bachelors,0.2543384311696276,0.24856815578465064,0.2430431960468184,0.30431788931788933,0.317705509305997,0.2322395627539919,0.37995574994884385,0.26293359762140733,0.22193812324213755,0.356261807470255,0.2740195857213773,0.4069647321851872,0.3000905471181106,0.220176863382061,0.2523849500114478,0.2972776951068539,0.19551118273652765,0.3535192213746195,0.37846501980011316,0.32498201870055143,0.2532120286130981,0.2457307131210847,0.2374830852503383,0.23786394137630906
2008-2012,percent_above_bachelors,0.28695931313363615,0.1193516951325845,0.09850499382315375,0.1471042471042471,0.3030028428749884,0.12272960510907013,0.36981404747288726,0.11764122893954411,0.07884812068524674,0.27745537742540527,0.12631436436662305,0.22929319646074228,0.15024890572423855,0.15827467966071107,0.11148846320181129,0.1389788543060436,0.07692307692307693,0.29610875201984144,0.22729272738701364,0.4266362982498202,0.13480102784915618,0.09950227409250836,0.07081641858367163,0.10786983743717887
2008-2012,percent_income_below_50k,0.4075009954363074,0.22887825074395135,0.22588258432490904,0.2720345025070419,0.23746081285534107,0.3102090305699362,0.20389926015141088,0.2831541218637993,0.36547453557437126,0.18545920731518953,0.26733533064130954,0.1414271318201449,0.21130334842606235,0.42796092796092794,0.28714354760753985,0.21713911270750413,0.4221896996306363,0.2675307821841833,0.22479164221152717,0.19744698373481573,0.5286965481710458,0.3227041878278245,0.25368248772504093,0.39285714285714285
2008-2012,percent_income_above_200k,0.11464363380195412,0.08571613404062621,0.08154194119382437,0.07682417980574809,0.16872075821007385,0.059197245963598884,0.17728406744666209,0.09014336917562724,0.032415013269303676,0.19647472531998805,0.10598758195475663,0.19692883535678296,0.12120207030074898,0.06105006105006105,0.053238279362010636,0.09773322978351616,0.03442748623597463,0.13009624743159945,0.15905622725672028,0.23244801317685815,0.03946419371458011,0.056698026808758635,0.04886602758943184,0.04413841807909605
2008-2012,Median_household_income,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2008-2012,total_housing_units,296671,33793,55049,90215,375973,327803,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,22086
2008-2012,housing_units_per_person,0.4897508745227062,0.38066325726000855,0.37421060860462113,0.385093141188724,0.38568295405119285,0.378769023494326,0.5040965768592433,0.44021777557802444,0.37876913890902886,0.37586295985310536,0.39196885258416675,0.348999936503905,0.3405649846167555,0.5204301075268817,0.3685350090351148,0.3408680067363997,0.4247078552985333,0.5163285519855776,0.3826171187037689,0.4430081300813008,0.4252767527675277,0.34599267322035687,0.3381914081476855,0.41247548790736766
2008-2012,percent_OwnerOccupied,0.424411926858403,0.8181200672790788,0.7981119087422559,0.7558526864502858,0.6816703441756926,0.6337620546908812,0.4591362697866483,0.7862007168458781,0.7363831669404777,0.6974555414826027,0.7909339585775693,0.7819569077210998,0.728199748540222,0.7741147741147741,0.7802078298695022,0.7833705465488787,0.715868701651683,0.43879868374299,0.6993778612513206,0.6226065472513898,0.37609479649665123,0.6529015069519607,0.6584054243628712,0.7591303470540759
2008-2012,percent_1_Units,0.37741471191993825,0.9201609800846329,0.8845755599556758,0.8240758188771269,0.6665877602912975,0.6743104852609647,0.3693154324208928,0.9347895920334083,0.855477986713208,0.7172498275434578,0.9136023683390464,0.8326177134124154,0.8299319727891157,0.9677169421487604,0.8746355685131195,0.8819010062550993,0.8559072391099969,0.37089428650289813,0.7463751438434982,0.5586346118553863,0.5207960011317552,0.7352985984156002,0.8169505438128463,0.8361858190709046
2008-2012,Median_Value,443000,368100,320400,316800,455800,289400,577300,348000,265600,480200,363600,448700,330700,417700,264600,309300,231700,475900,465100,645600,323600,247100,233100,223700
2008-2012,Total:,296671,33793,55049,90215,375973,327803,105395,6226,17762,407349,25672,109928,137592,3872,45276,44124,15955,72460,8690,5449,10603,13128,4873,22086
2008-2012,Built 2010 or later,590,64,562,389,965,924,467,0,37,1123,92,1379,927,9,160,281,87,93,26,10,122,28,0,0
2008-2012,Built 2000 to 2009,22470,6183,11584,16714,42624,34765,15782,941,4847,47805,4293,43126,41440,321,10908,12728,2597,7856,817,737,1586,987,1372,4744
2008-2012,Built 1990 to 1999,8412,9370,11345,19470,46084,43616,9348,739,2961,62956,3778,31248,24815,629,13851,11301,2691,8255,841,335,728,2306,950,3456
2008-2012,Built 1980 to 1989,12149,7251,10977,15242,79821,43679,11993,817,2629,94979,6569,14628,28601,674,9638,8767,2503,7117,568,215,1148,4857,490,3823
2008-2012,Built 1970 to 1979,22258,5235,9172,13109,63774,52913,11041,1042,2411,87056,4096,8365,22449,583,6076,5867,2496,13320,1357,964,2278,2218,468,3888
2008-2012,Built 1960 to 1969,38083,1917,5493,6721,56463,69960,12837,563,1350,57236,1665,4661,12394,403,1853,2292,1500,12690,2132,997,1704,1609,494,1731
