estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2006-2010,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2006-2010,FILETYPE,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5
2006-2010,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2006-2010,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2006-2010,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
2006-2010,LOGRECNO,0000007,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2006-2010,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2006-2010,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2006-2010,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2006-2010,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2006-2010,Total_population,584400,87891,143912,229205,947230,854722,197467,14013,45749,1048554,64546,291653,379415,7376,120212,124587,37044,133647,22058,11465,23375,36067,13195,52033
2006-2010,percent_below_18,0.1764031485284052,0.27127919809764367,0.27089471343598864,0.2590344887764229,0.24260739208006504,0.24614319041746907,0.15646158598651927,0.23157068436451866,0.25983081597411967,0.24353633670750385,0.2601245623276423,0.3051468697390392,0.29143813502365484,0.2068872017353579,0.28652713539413704,0.29588159278255355,0.24568081200734262,0.16816688739739763,0.1988394233384713,0.24369821194941124,0.1950374331550802,0.2851637230709513,0.2938992042440318,0.23804124305729057
2006-2010,percent_above_65,0.11483230663928816,0.10188756527972147,0.08745622324754017,0.10567832289871512,0.12047971453606833,0.08937057897187624,0.08754880562321805,0.1527866980660815,0.11357625303285318,0.09420497179925878,0.1181947758187959,0.061175437934806086,0.0638799204037795,0.1785520607375271,0.09179616011712641,0.06849029192451861,0.12528344671201813,0.09204845600724296,0.13169825006800254,0.11190580026166594,0.10720855614973263,0.0651565142651177,0.05403561955286093,0.11369707685507274
