estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5
2005-2009,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2005-2009,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011
2005-2009,LOGRECNO,0000007,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2005-2009,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2005-2009,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2005-2009,GEO_NAME,District of Columbia,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2005-2009,Total_population,588433,88055,140181,224185,946172,834986,206405,14359,44923,1012751,66330,277465,360910,7171,118512,120436,36087,142131,23369,11233,22314,35559,11633,50791
2005-2009,percent_below_18,0.1937212902743388,0.26812787462381465,0.2746877251553349,0.2618373218547182,0.24774776679081606,0.2537779076535415,0.16197766526973667,0.21930496552684728,0.25948845802818155,0.2500901011206111,0.2594451982511684,0.29841241237633576,0.2966778421213045,0.20875749546785666,0.28854461995409747,0.3016207778405128,0.2410840468866905,0.17751229499546192,0.2028756044332235,0.2303925932520253,0.20086044635654746,0.28991253972271436,0.30989426631135564,0.23706955956763995
2005-2009,percent_above_65,0.11819357513939564,0.09765487479416274,0.0846049036602678,0.1012735017953922,0.11975095437193238,0.08893562287271882,0.0881858482110414,0.1447175987185737,0.11121251919951917,0.09277996269566754,0.11007085783205187,0.059012848467374264,0.061375412152614224,0.16050760005578021,0.08548501417577967,0.06067122787206483,0.12284202067226425,0.10500875952466386,0.1377465873593222,0.1330900026707024,0.14838218159003316,0.08315756911049242,0.0609473050803748,0.11137800003937705
2005-2009,percent_AA,0.5516872779058958,0.14117313042984497,0.37255405511445916,0.08095100028993911,0.16320711244889935,0.638359206022616,0.08103001380780504,0.05996239292429835,0.16192151013957215,0.09237413737433979,0.08362731795567617,0.07804227560232822,0.1935662630572719,0.056477478733788875,0.1508792358579722,0.165814208376233,0.05054451741624408,0.21838304099738973,0.053232915400744575,0.050921392326181786,0.21022676346688177,0.11378272729829297,0.1107195048568727,0.06867358390265992
2005-2009,percent_NonWhite,0.6414494088536843,0.18156833797058655,0.4394675455304214,0.1661886388473805,0.3977638315232326,0.7665601578948629,0.28669363629757033,0.09610697123755137,0.23181889010083923,0.33314210501890396,0.13975576662143827,0.2683978159407493,0.39128868693025964,0.09552363687072933,0.22633994869717836,0.2679846557507722,0.08540471637985979,0.3552919489766483,0.27540759125336983,0.2087599038547138,0.30106659496280364,0.344132287184679,0.3710994584372045,0.10671181902305527
2005-2009,percent_FamilyHouseholds,0.4388707856877909,0.7643102172597027,0.7540585244328276,0.7161822969215247,0.6873574174874092,0.6595320487217097,0.4341162530591453,0.6683069072352834,0.7487643158529235,0.6955618497769112,0.7332305659546355,0.7284461923803665,0.76871611302795,0.717815344603381,0.7805603342344556,0.815953710488415,0.6747323654494793,0.44643652561247216,0.6546899086920431,0.6368038740920097,0.45490284173873974,0.7413037876835867,0.7691494981510829,0.702631983992612
2005-2009,percent_MarriedCoupleFamily,0.22392839906988987,0.6167350507836147,0.5505299054542484,0.5840982355981003,0.5446630184917712,0.40806277837260896,0.34183803417383696,0.5613267723710589,0.6094032549728752,0.5729729876520412,0.6174851354327241,0.6312233598453223,0.5961440564978142,0.5864759427828349,0.6089948390267879,0.6614195113323394,0.5340959084909811,0.3327553293032135,0.5141705205739358,0.5179176755447942,0.29428282601370326,0.5563858112170402,0.5736925515055468,0.5636447591195937
2005-2009,percent_less_than_bachelors,0.49617963974163437,0.6478212133949839,0.6674709292584029,0.5745078699708215,0.38396412454017975,0.6379769348546382,0.2760047203828755,0.6647221672928614,0.7271837120572644,0.3615759789535781,0.6358045858765974,0.3713018505616259,0.5497496701429682,0.6230529595015576,0.6258556567670996,0.5589373048547982,0.7284852989758838,0.37023974116606945,0.4351430530449417,0.2727023319615912,0.6358094377963422,0.6588678902416863,0.6628475618275814,0.64880014012962
2005-2009,percent_bachelors,0.24003381593551243,0.24048970155527533,0.24177027132692158,0.292983465526925,0.32370713084809183,0.24039990995700633,0.3716645905723464,0.23165908641487049,0.20603032042408076,0.3629167051504742,0.25272615046978947,0.4188262216708866,0.3043224826938023,0.24338006230529596,0.26696491133509404,0.30135945400790254,0.1900809382226627,0.3484100335769307,0.33503708782646635,0.34266117969821674,0.23699857003085723,0.24968199164092314,0.23445577756043035,0.23422082092602323
