estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2011-2015,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2011-2015,FILETYPE,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5
2011-2015,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2011-2015,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2011-2015,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2011-2015,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2011-2015,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2011-2015,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2011-2015,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2011-2015,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2011-2015,Total_population,647484,90114,152754,241373,1017859,892816,223945,14299,48424,1128722,67463,351129,437271,7431,127691,137145,38481,149315,23402,13308,27395,40743,15625,55214
2011-2015,percent_below_18,0.1719038617170463,0.24584415296180392,0.25216360946358196,0.24201546983299707,0.23600420097479122,0.22826763857278543,0.16652749559043514,0.21525980837820827,0.25330414670411366,0.24010695281920616,0.2421623704845619,0.2971984655212187,0.28170859718572694,0.18422823307764769,0.26110689085370153,0.2716686718436691,0.23008757568670252,0.1772025583497974,0.20741816938723187,0.2560865644724977,0.2069720751962037,0.2711140564023268,0.271872,0.23130003260042742
2011-2015,percent_above_65,0.11320588616861575,0.12491954635239808,0.10644565772418398,0.12440496658698363,0.1328533716359535,0.1076683213562481,0.09075889169215656,0.18777536890691657,0.13530480753345447,0.11055600936280147,0.14722143990038986,0.07610308462132151,0.07896476098346335,0.2262145067958552,0.11433852033424438,0.0864851070035364,0.14095267794495986,0.09752536583732378,0.14938894111614393,0.10850616170724377,0.10334002555210806,0.08114277299167955,0.067712,0.1343499836997863
2011-2015,percent_AA,0.4887333123289533,0.1270723749916772,0.42245702240203203,0.09007635485327688,0.17607939803057202,0.6344722764825003,0.0845564759204269,0.0548290090216099,0.14350322154303652,0.09363244448145779,0.07409987696959815,0.07432026406249555,0.20465798097747165,0.04185170232808505,0.1597215152203366,0.17129315687775712,0.040071723707803854,0.21374945584837424,0.04815827707033587,0.021265404268109408,0.23299872239459754,0.14257663893184105,0.12384,0.06965624660412215
2011-2015,percent_NonWhite,0.5979437329725522,0.18130368200279645,0.5159930345522867,0.18560485224113715,0.443732383365476,0.7960766832135625,0.27939449418383977,0.11266522134414994,0.22728399140921857,0.3709567103325708,0.12721047092480323,0.3222975031968308,0.3855115020204862,0.07616740680931235,0.25743396167310145,0.298683874731124,0.09225331982017099,0.35905300873991225,0.30505939663276643,0.2236248872858431,0.34360284723489687,0.2856687038264242,0.345728,0.11757887492302677
2011-2015,percent_FamilyHouseholds,0.4343136179084824,0.746108168833253,0.7318086927084313,0.7175627726173526,0.6941585554506003,0.6607637184647099,0.46492823112321086,0.665218964893232,0.7526491068725402,0.7136649207987664,0.7351557533375715,0.7749576838987234,0.7741275202128748,0.6953864955698136,0.7830138009947926,0.8196751526321853,0.7037037037037037,0.484352337804094,0.6837132396362348,0.63511420828494,0.5618055555555556,0.7394836322689616,0.7162820241372009,0.7059662584230977
2011-2015,percent_MarriedCoupleFamily,0.23915651633197996,0.5754132562991494,0.5266592691504768,0.565676769046489,0.5370241077662327,0.3911619384182455,0.37616440304344734,0.502171552660152,0.5808658795034817,0.582561710695671,0.6243695698241153,0.6551325904506665,0.6021316724417738,0.5875343721356554,0.61331527450202,0.6638405713627462,0.5257588415483152,0.3621615155729003,0.5486004488012283,0.5327138985675571,0.3421626984126984,0.5691305396927532,0.5466864281177218,0.5409965077959766
2011-2015,percent_less_than_bachelors,0.4233046665726773,0.6359860441933876,0.6456376106945678,0.5321819968723537,0.37095885312663274,0.6300192596052627,0.23491175894431285,0.6123270193345765,0.7116374232748466,0.3473076391190108,0.5926459042135567,0.3566153735851086,0.5348145353224589,0.5884861407249466,0.6357351672577398,0.5475960137537152,0.7051350121359223,0.3448284951149223,0.3965318620020615,0.1819984576401895,0.5771649131544543,0.6408199643493762,0.6553221571399718,0.6491397849462366
2011-2015,percent_bachelors,0.2641688989144227,0.2470177770393753,0.2525782973752783,0.3095380849656639,0.31628912316864566,0.240379505613718,0.38094135665057965,0.2591029541662577,0.21858143716287431,0.36248829096336344,0.2773488615545669,0.4094514299029405,0.3097644685667847,0.259772565742715,0.25046726732483465,0.3065213590535579,0.2276243932038835,0.3398116257819639,0.3665797611107743,0.37435275972237525,0.26165722467783104,0.24711307447880337,0.2515653403352858,0.2485215053763441
2011-2015,percent_above_bachelors,0.3125264345129,0.11699617876723709,0.10178409193015385,0.15827991816198242,0.3127520237047216,0.12960123478101931,0.38414688440510747,0.12857002649916577,0.06978113956227912,0.29020406991762576,0.13000523423187646,0.23393319651195096,0.15542099611075638,0.1517412935323383,0.11379756541742547,0.14588262719272685,0.06724059466019418,0.3153598791031138,0.23688837688716424,0.4436487826374353,0.16117786216771463,0.11206696117182051,0.09311250252474247,0.10233870967741936
2011-2015,percent_income_below_50k,0.38122462416328323,0.22510030492697802,0.24987305109928346,0.27459488778900265,0.23294317357317892,0.30911619384182454,0.2061539399234059,0.3405718422005067,0.36354828943384804,0.1776375986033057,0.25157872430599704,0.1494639960504972,0.20998728014386595,0.42743660250534676,0.2941643509329099,0.20675037438083171,0.3961292119186856,0.2517830709191226,0.20928309909058698,0.1821525358110724,0.48720238095238094,0.2958256253518861,0.25301715011645143,0.36677979440263636
2011-2015,percent_income_above_200k,0.13491349354402135,0.0972235596212486,0.09202384758609017,0.08827717133364973,0.18070557312415295,0.06575373842478976,0.19774281041435987,0.10079623597538907,0.04135634271874054,0.20944297893489314,0.10926043653316381,0.21716094223852175,0.13121920552070998,0.0666055606477238,0.06599257408402028,0.12922474369312292,0.036688944583681424,0.14602491065954934,0.17444195110428723,0.2611304684475416,0.051488095238095236,0.058312555296388645,0.05462629684522549,0.05218631646254488
2011-2015,Median_household_income,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2011-2015,total_housing_units,303312,34384,57156,92708,382913,329897,109443,6261,17989,409963,26052,118919,142786,3936,45979,45759,16099,74317,8780,5601,11252,13284,4895,22408
2011-2015,housing_units_per_person,0.4684470967622366,0.3815611336751226,0.37417023449467773,0.38408604110650324,0.3761945416801345,0.3695016666367986,0.4887048159146219,0.437862787607525,0.37148934412687923,0.3632098957936498,0.38616723240887596,0.3386760990974827,0.3265389198003069,0.5296729915220024,0.360080193592344,0.33365416165372414,0.41836230867181207,0.4977195861099019,0.3751816084095376,0.4208746618575293,0.4107318853805439,0.3260437375745527,0.31328,0.4058390987792951
2011-2015,percent_OwnerOccupied,0.41241449943304437,0.8163055689295459,0.7771341520753794,0.7393382602210319,0.6616397661779402,0.6199469912633749,0.4438902489816235,0.7591386174448064,0.7280048440811384,0.6771750073275478,0.7914388641661368,0.7710434445306439,0.7145342631986783,0.7613809960281087,0.7610162763001191,0.7675152632185233,0.7671957671957672,0.4247970214865653,0.699775599385851,0.5867208672086721,0.3445436507936508,0.6424837127000724,0.6872750370527207,0.7402980669912941
2011-2015,percent_1_Units,0.37434061296618665,0.930839925546766,0.89446427321716,0.8307481554989861,0.6649526132567972,0.673828497985735,0.3610555266211635,0.8869190225203641,0.8566346100394686,0.7084151496598473,0.9144019653001689,0.8251751191987824,0.8183295281049963,0.9771341463414634,0.865917049087627,0.8868637863589677,0.8829740977700479,0.35824912200438663,0.7412300683371298,0.531869309051955,0.5165303945965162,0.712059620596206,0.7930541368743615,0.8394769725098179
2011-2015,Median_Value,475800,341800,284500,300100,454700,254700,607700,329500,251600,501200,357200,452300,333100,367000,248300,305300,213500,502500,470300,718900,317900,276700,248300,207300
