FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2010e5,wv,000,0095,0000001,040,54,   ,04000US54,West Virginia,740874,552855,188019
ACSSF,2010e5,wv,000,0095,0000002,040,54,   ,04001US54,West Virginia -- Urban,350898,233144,117754
ACSSF,2010e5,wv,000,0095,0000003,040,54,   ,04043US54,West Virginia -- Rural,389976,319711,70265
ACSSF,2010e5,wv,000,0095,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,559682,411362,148320
ACSSF,2010e5,wv,000,0095,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,414147,301324,112823
ACSSF,2010e5,wv,000,0095,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,103349,60690,42659
ACSSF,2010e5,wv,000,0095,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,310798,240634,70164
ACSSF,2010e5,wv,000,0095,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145535,110038,35497
ACSSF,2010e5,wv,000,0095,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,32334,21276,11058
ACSSF,2010e5,wv,000,0095,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113201,88762,24439
ACSSF,2010e5,wv,000,0095,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,181192,141493,39699
ACSSF,2010e5,wv,000,0095,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,326727,251531,75196
ACSSF,2010e5,wv,000,0095,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6219,4742,1477
ACSSF,2010e5,wv,000,0095,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",38730,29297,9433
ACSSF,2010e5,wv,000,0095,0000015,050,54,005,05000US54005,"Boone County, West Virginia",10023,7637,2386
ACSSF,2010e5,wv,000,0095,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6028,4739,1289
ACSSF,2010e5,wv,000,0095,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9824,7780,2044
ACSSF,2010e5,wv,000,0095,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40564,26030,14534
ACSSF,2010e5,wv,000,0095,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3030,2351,679
ACSSF,2010e5,wv,000,0095,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3530,2813,717
ACSSF,2010e5,wv,000,0095,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2860,2343,517
ACSSF,2010e5,wv,000,0095,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",18140,13946,4194
