index,34005,34007,34015,34033,42017,42029,42045,42091,42101,10003,24015,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,pa,pa,pa,pa,pa,de,md,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000010,0000011,0000015,0000024,0000021,0000027,0000035,0000058,0000063,0000009,0000019,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,34,34,34,34,42,42,42,42,42,10,24,2012-2016
GEO_ID,05000US34005,05000US34007,05000US34015,05000US34033,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US10003,05000US24015,2012-2016
GEO_NAME,"Burlington County, New Jersey","Camden County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","New Castle County, Delaware","Cecil County, Maryland",2012-2016
B01003_1_total,450236,511145,291286,64504,626220,512028,562316,815876,1559938,551997,102175,2012-2016
B01001_1_total,450236,511145,291286,64504,626220,512028,562316,815876,1559938,551997,102175,2012-2016
B01001_2_male,221808,247229,141585,31407,307068,252007,270171,396386,737899,267276,50603,2012-2016
B01001_3_under_5_years,11983,16359,8243,1799,15720,14949,17196,23565,55002,16832,2976,2012-2016
B01001_4_5_to_9_years,13415,17322,9548,2152,18973,16748,17634,25237,46053,16455,3650,2012-2016
B01001_5_10_to_14_years,14919,16664,10034,2005,20444,18736,17787,26403,47458,17992,3499,2012-2016
B01001_6_15_to_17_years,9282,10622,6449,1405,13561,11307,11950,16530,27397,10852,2171,2012-2016
B01001_7_18_and_19_years,5581,6199,3725,736,7632,7436,9245,9685,23414,8324,1227,2012-2016
B01001_8_20_years,2723,3466,2274,563,3291,3002,4803,4166,14043,3766,583,2012-2016
B01001_9_21_years,3346,3288,2365,401,3581,3546,4519,4522,12436,4164,754,2012-2016
B01001_10_22_to_24_years,10435,9987,5434,1093,11327,9493,10811,14426,37451,11743,1944,2012-2016
B01001_11_25_to_29_years,14539,17709,9066,1877,17260,14909,18034,25049,74681,20582,3043,2012-2016
B01001_12_30_to_34_years,13459,16975,8387,1810,17182,14505,17117,26177,60861,18407,3011,2012-2016
B01001_13_35_to_39_years,12897,15625,8020,1812,16912,14338,15466,24363,48582,16914,2636,2012-2016
B01001_14_40_to_44_years,15101,15918,9844,1874,19876,17497,16574,26518,42820,16976,3871,2012-2016
B01001_15_45_to_49_years,16569,16997,10448,2140,23081,18552,18144,28634,44451,18474,3635,2012-2016
B01001_16_50_to_54_years,18168,18053,11350,2410,26266,19981,19903,30462,45649,19669,4142,2012-2016
B01001_17_55_to_59_years,16636,17868,10337,2473,25238,18121,19146,29306,44477,17853,3860,2012-2016
B01001_18_60_and_61_years,5527,5919,4068,723,8751,7401,7452,10370,16618,6678,1283,2012-2016
B01001_19_62_to_64_years,7309,7579,4240,1312,12249,8401,9286,13970,19424,8848,1812,2012-2016
B01001_20_65_and_66_years,4678,4744,2640,805,6948,5361,5345,8134,12007,5378,1186,2012-2016
B01001_21_67_to_69_years,5558,5898,4215,838,9505,6511,6572,11107,15559,6350,1286,2012-2016
B01001_22_70_to_74_years,7426,7831,4406,1276,10763,8194,8011,13299,18271,8091,1855,2012-2016
B01001_23_75_to_79_years,4943,5232,2795,796,7818,5668,5748,9444,13331,5662,1018,2012-2016
B01001_24_80_to_84_years,4075,3314,1973,578,5448,3864,4918,7427,9344,3744,610,2012-2016
B01001_25_85_years_and_over,3239,3660,1724,529,5242,3487,4510,7592,8570,3522,551,2012-2016
B01001_26_female,228428,263916,149701,33097,319152,260021,292145,419490,822039,284721,51572,2012-2016
B01001_27_under_5_years,11542,15583,7950,1788,15287,14294,16636,22439,52872,16152,2898,2012-2016
B01001_28_5_to_9_years,13412,16074,9565,1939,18586,16656,16173,24635,46014,17075,3202,2012-2016
B01001_29_10_to_14_years,14237,16255,9129,2041,18895,17367,18035,25069,44099,16590,3424,2012-2016
B01001_30_15_to_17_years,8953,10199,6079,1243,12675,10518,10839,15722,26914,10451,2227,2012-2016
B01001_31_18_and_19_years,4736,5598,3460,721,6884,7639,9069,9818,24251,8481,1125,2012-2016
B01001_32_20_years,2564,2840,2014,360,3212,3267,4398,4519,13367,4742,518,2012-2016
B01001_33_21_years,2051,3275,2069,292,3324,3448,4069,4456,14009,3758,740,2012-2016
B01001_34_22_to_24_years,8199,10310,5374,1235,10635,8831,11217,13847,39906,11304,1918,2012-2016
