index,17031,17037,17043,17063,17089,17093,17097,17111,17197,55059,estimate_year
B01001_10_22_to_24_years,109203,4033,18487,893,9891,2089,16232,5719,13760,3396,2013-2017
B01001_11_25_to_29_years,217038,4263,29677,1481,15762,3361,19924,8177,19556,5468,2013-2017
B01001_12_30_to_34_years,207324,3319,30501,1680,17067,4642,19931,8794,20722,5257,2013-2017
B01001_13_35_to_39_years,180703,2796,29298,1822,17276,5296,21133,9044,22831,4912,2013-2017
B01001_14_40_to_44_years,169464,3095,30295,1757,19212,4825,23084,10952,25229,5675,2013-2017
B01001_15_45_to_49_years,165112,2896,31901,1720,19041,4534,25169,11990,26684,5967,2013-2017
B01001_16_50_to_54_years,166907,2997,34184,1906,18916,3931,26775,12877,25998,6551,2013-2017
B01001_17_55_to_59_years,159782,3201,33023,1845,17227,3361,24638,11477,22199,5722,2013-2017
B01001_18_60_and_61_years,60297,841,12946,583,6065,1079,8960,4076,7667,2247,2013-2017
B01001_19_62_to_64_years,79152,1493,15750,647,7683,1228,11613,5301,10376,2789,2013-2017
B01001_1_total,5238541,104473,931826,50333,529402,122933,704476,308043,687727,167886,2013-2017
B01001_20_65_and_66_years,46410,683,9590,396,5019,979,6786,3254,5973,1612,2013-2017
B01001_21_67_to_69_years,57986,1117,11686,690,5650,949,7956,3757,7452,1596,2013-2017
B01001_22_70_to_74_years,73976,1442,14742,778,7511,1625,10623,4853,9702,2625,2013-2017
B01001_23_75_to_79_years,49272,874,8530,538,4550,1003,6705,3168,5897,1666,2013-2017
B01001_24_80_to_84_years,36950,523,6488,343,3206,219,4282,1470,3878,1063,2013-2017
B01001_25_85_years_and_over,31376,651,5962,177,2658,340,4050,1561,2788,908,2013-2017
B01001_26_female,2697837,52734,474499,25179,266010,62132,352629,154540,346008,84853,2013-2017
B01001_27_under_5_years,162944,3003,27153,1460,17122,4297,20409,8354,20311,4805,2013-2017
B01001_28_5_to_9_years,159653,2809,29624,1635,19272,5480,23449,10185,23952,5275,2013-2017
B01001_29_10_to_14_years,158104,3480,30039,1932,20457,4942,26035,11107,27081,5900,2013-2017
B01001_2_male,2540704,51739,457327,25154,263392,60801,351847,153503,341719,83033,2013-2017
B01001_30_15_to_17_years,96709,1863,19225,1208,12331,3007,16245,7178,16437,3631,2013-2017
B01001_31_18_and_19_years,63064,3185,11525,577,6739,1507,9800,3692,8843,2452,2013-2017
B01001_32_20_years,32901,1849,5320,216,3542,771,4292,1378,4615,1245,2013-2017
B01001_33_21_years,33978,1549,4666,240,3546,620,4162,2094,4013,1662,2013-2017
