index,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36119,34003,34013,34017,34019,34023,34025,34027,34029,34031,34035,34037,34039,42103,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000072,0000009,0000014,0000016,0000017,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000064,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,42,2012-2016
GEO_ID,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36119,05000US34003,05000US34013,05000US34017,05000US34019,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US42103,2012-2016
GEO_NAME,"Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Westchester County, New York","Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Pike County, Pennsylvania",2012-2016
B01003_1_total,1436785,295905,2606852,1356801,1634989,376242,99408,2310011,473324,322642,1498130,969229,930310,792586,668526,125708,831852,627532,498215,586166,507204,331686,144694,550436,56210,2012-2016
B01001_1_total,1436785,295905,2606852,1356801,1634989,376242,99408,2310011,473324,322642,1498130,969229,930310,792586,668526,125708,831852,627532,498215,586166,507204,331686,144694,550436,56210,2012-2016
B01001_2_male,676440,147197,1234959,658161,773232,188285,49388,1120010,229095,158136,737351,468336,450329,380718,332210,62725,409221,305359,244099,282068,246848,161900,71759,268169,28092,2012-2016
B01001_3_under_5_years,54737,7168,99209,37773,41896,12651,2228,74036,14012,12245,41232,28448,25322,26863,24008,2614,25416,16228,12931,20470,17804,9156,3387,17865,1052,2012-2016
B01001_4_5_to_9_years,51988,8006,84834,41624,31687,14146,2758,65634,15678,13776,46672,31709,28834,26524,18475,3334,25427,19266,15543,18989,17029,10579,4357,18968,1524,2012-2016
B01001_5_10_to_14_years,49531,9154,78886,45228,30102,14512,3516,63367,14946,11889,50563,33084,30110,27596,17309,4531,26675,21702,17348,19937,17485,12222,4682,18510,1878,2012-2016
B01001_6_15_to_17_years,30985,6280,47344,29406,17382,9055,2243,38940,9706,7808,32747,21233,19349,15980,10562,3174,16606,13909,11078,11296,10707,7571,3364,11409,1253,2012-2016
B01001_7_18_and_19_years,21857,5317,28625,18266,16097,6443,1325,24809,5697,4510,20809,13180,11282,10506,7348,1851,12744,8178,6641,6159,7202,4153,1803,6982,761,2012-2016
B01001_8_20_years,13998,2681,17721,9186,8324,3997,643,16075,3176,2205,10402,5817,4599,5461,4474,765,7154,3454,2336,3436,3400,1889,868,4022,342,2012-2016
B01001_9_21_years,11970,2496,16909,8842,9283,3046,392,14863,3653,2204,10164,6144,5782,5728,4429,884,6590,3754,2942,3077,3837,1470,973,3767,330,2012-2016
B01001_10_22_to_24_years,35149,6360,57012,25898,37851,9234,2145,47863,9224,6607,30553,17808,16641,16287,15178,3106,15146,11832,9105,9778,11151,5975,2682,10083,1015,2012-2016
B01001_11_25_to_29_years,56638,9035,117564,39828,91645,10568,2668,95380,16184,9795,45045,27283,25966,26510,35543,2771,29119,17337,13280,16571,17323,8562,3836,17644,1189,2012-2016
B01001_12_30_to_34_years,49108,8344,108819,37258,84089,10675,2575,92020,14695,9130,42007,27946,28053,26097,36531,2604,29144,16268,14017,15756,16615,9470,3585,18081,1219,2012-2016
B01001_13_35_to_39_years,42516,8059,91382,38585,63793,10704,2771,83707,13963,8594,43948,29853,29481,26536,28965,2949,28647,16296,13960,14915,16975,10498,3866,19132,1529,2012-2016
B01001_14_40_to_44_years,41878,9660,81079,41948,56110,12264,3325,79577,15769,9166,49359,31809,31412,27980,25082,3756,29804,20522,17085,15544,15433,11300,4641,18949,1583,2012-2016
B01001_15_45_to_49_years,44259,11266,74692,48068,53160,13646,4171,79060,16302,10265,57770,35092,34132,28016,21690,5080,29367,23605,19974,17611,17245,13112,6016,19850,2136,2012-2016
