index,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36119,34003,34013,34017,34019,34023,34025,34027,34029,34031,34035,34037,34039,42103,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000072,0000009,0000014,0000016,0000017,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000064,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,42,2008-2012
GEO_ID,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36119,05000US34003,05000US34013,05000US34017,05000US34019,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US42103,2008-2012
GEO_NAME,"Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Westchester County, New York","Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Pike County, Pennsylvania",2008-2012
B01003_1_total,1386364,297291,2512740,1338712,1596735,372951,99702,2235008,468374,312011,1492360,950227,906781,783840,636194,127996,811064,629263,493472,575961,500168,323650,148962,536383,57437,2008-2012
B01001_1_total,1386364,297291,2512740,1338712,1596735,372951,99702,2235008,468374,312011,1492360,950227,906781,783840,636194,127996,811064,629263,493472,575961,500168,323650,148962,536383,57437,2008-2012
B01001_2_male,650728,148019,1186163,647788,751244,186531,49693,1082322,226977,152950,734110,457439,437214,375925,314989,63852,398362,306128,241638,276133,242949,157862,74120,260183,28712,2008-2012
B01001_3_under_5_years,53368,7801,92170,37438,40530,13479,2430,68889,14557,12194,43888,29141,25300,27364,21713,3081,25196,17476,13908,19865,17623,9831,4023,18231,1460,2008-2012
B01001_4_5_to_9_years,50055,8468,83117,42648,31235,13827,3041,62059,14251,12749,49371,31316,29002,26002,17395,4374,26516,20243,17095,18512,16761,11586,4983,18060,1434,2008-2012
