estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2011-2015,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2011-2015,FILETYPE,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5,2015e5
2011-2015,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2011-2015,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2011-2015,SEQUENCE,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037
2011-2015,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2011-2015,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2011-2015,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2011-2015,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2011-2015,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2011-2015,B11005_1_total,273390,31155,53171,88494,365235,305610,98441,5526,16515,392355,23595,113432,136794,3273,42823,43405,14364,66879,8467,5166,10080,12433,4723,20331
2011-2015,B11005_2_households_with_one_or_more_people_under_18_years,58930,11537,20348,31894,131493,107048,21177,1664,6489,145241,8123,55281,63514,736,17374,19833,4912,15194,2626,1700,3176,4740,2097,6851
2011-2015,B11005_3_family_households,58608,11419,20285,31507,130867,106154,21021,1626,6424,144499,8029,54909,62977,736,17149,19761,4842,15078,2572,1700,3176,4725,2075,6760
2011-2015,B11005_4_married-couple_family,26590,8075,13112,23254,96813,56150,16433,1028,4309,116059,6403,46200,47445,573,12343,14833,3196,10169,2107,1351,1601,3479,1486,4655
2011-2015,B11005_5_other_family,32018,3344,7173,8253,34054,50004,4588,598,2115,28440,1626,8709,15532,163,4806,4928,1646,4909,465,349,1575,1246,589,2105
2011-2015,"B11005_6_male_householder,_no_wife_present",5291,821,1527,2401,8750,11399,1199,107,707,7802,475,2458,4759,93,1086,1253,385,1147,201,77,89,236,121,617
2011-2015,"B11005_7_female_householder,_no_husband_present",26727,2523,5646,5852,25304,38605,3389,491,1408,20638,1151,6251,10773,70,3720,3675,1261,3762,264,272,1486,1010,468,1488
2011-2015,B11005_8_nonfamily_households,322,118,63,387,626,894,156,38,65,742,94,372,537,0,225,72,70,116,54,0,0,15,22,91
2011-2015,B11005_9_male_householder,153,102,52,273,408,588,77,8,6,471,74,229,401,0,149,32,59,57,10,0,0,5,9,74
2011-2015,B11005_10_female_householder,169,16,11,114,218,306,79,30,59,271,20,143,136,0,76,40,11,59,44,0,0,10,13,17
2011-2015,B11005_11_households_with_no_people_under_18_years,214460,19618,32823,56600,233742,198562,77264,3862,10026,247114,15472,58151,73280,2537,25449,23572,9452,51685,5841,3466,6904,7693,2626,13480
2011-2015,B11005_12_family_households,60129,11826,18626,31993,122664,95782,24747,2050,6006,135511,9317,32996,42919,1540,16382,15817,5266,17315,3217,1581,2487,4469,1308,7593
2011-2015,B11005_13_married-couple_family,38793,9852,14891,26805,99327,63393,20597,1747,5284,112512,8329,28113,34923,1350,13921,13981,4356,14052,2538,1401,1848,3597,1096,6344
2011-2015,B11005_14_other_family,21336,1974,3735,5188,23337,32389,4150,303,722,22999,988,4883,7996,190,2461,1836,910,3263,679,180,639,872,212,1249
2011-2015,"B11005_15_male_householder,_no_wife_present",5211,610,745,1574,6808,9128,1844,64,211,7483,340,1593,3028,98,827,539,400,1303,159,45,172,301,84,429
2011-2015,"B11005_16_female_householder,_no_husband_present",16125,1364,2990,3614,16529,23261,2306,239,511,15516,648,3290,4968,92,1634,1297,510,1960,520,135,467,571,128,820
2011-2015,B11005_17_nonfamily_households,154331,7792,14197,24607,111078,102780,52517,1812,4020,111603,6155,25155,30361,997,9067,7755,4186,34370,2624,1885,4417,3224,1318,5887
2011-2015,B11005_18_male_householder,70231,3698,6311,11052,44233,45490,25733,856,1728,50956,2743,11761,14105,486,3802,3767,2196,15006,1168,973,2035,1374,672,2800
2011-2015,B11005_19_female_householder,84100,4094,7886,13555,66845,57290,26784,956,2292,60647,3412,13394,16256,511,5265,3988,1990,19364,1456,912,2382,1850,646,3087
