estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2008-2012,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2008-2012,FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5
2008-2012,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2008-2012,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2008-2012,SEQUENCE,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037
2008-2012,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2008-2012,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2008-2012,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2008-2012,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2008-2012,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2008-2012,B11005_1_total,261192,30916,50845,85559,357579,302683,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,19824
2008-2012,B11005_2_households_with_one_or_more_people_under_18_years,53171,12270,20649,32502,126834,109920,19081,1692,6250,143773,8120,50346,60123,946,18339,18976,4828,13358,2521,1727,2657,5035,1945,6538
2008-2012,B11005_3_family_households,52889,12216,20493,32275,126407,108748,19008,1685,6188,142996,8091,50167,59571,908,18159,18921,4794,13273,2478,1727,2653,5022,1932,6427
2008-2012,B11005_4_married-couple_family,22034,9211,13605,24540,94435,57327,14716,1296,4412,115148,6220,41654,44263,688,12710,14659,3468,8810,2053,1347,1362,3528,1314,4725
2008-2012,B11005_5_other_family,30855,3005,6888,7735,31972,51421,4292,389,1776,27848,1871,8513,15308,220,5449,4262,1326,4463,425,380,1291,1494,618,1702
2008-2012,"B11005_6_male_householder,_no_wife_present",4768,803,1428,2165,6956,11392,875,122,525,7491,543,2485,4422,110,1489,1177,275,956,121,119,195,477,131,390
2008-2012,"B11005_7_female_householder,_no_husband_present",26087,2202,5460,5570,25016,40029,3417,267,1251,20357,1328,6028,10886,110,3960,3085,1051,3507,304,261,1096,1017,487,1312
2008-2012,B11005_8_nonfamily_households,282,54,156,227,427,1172,73,7,62,777,29,179,552,38,180,55,34,85,43,0,4,13,13,111
2008-2012,B11005_9_male_householder,122,54,126,206,306,636,62,7,62,626,29,118,370,38,154,19,34,16,13,0,4,0,13,111
2008-2012,B11005_10_female_householder,160,0,30,21,121,536,11,0,0,151,0,61,182,0,26,36,0,69,30,0,0,13,0,0
2008-2012,B11005_11_households_with_no_people_under_18_years,208021,18646,30196,53057,230745,192763,73911,3888,9576,244679,14911,53849,69520,2330,23041,22228,9521,51371,5998,3130,7048,6976,2332,13286
2008-2012,B11005_12_family_households,56754,11254,17477,29666,118179,90904,22730,2384,5653,132390,9059,30682,40695,1254,14895,14497,5113,17142,3376,1346,2243,3869,1317,7512
2008-2012,B11005_13_married-couple_family,36098,9388,13790,25194,96276,60527,18726,2163,4970,111327,8001,26406,33273,1173,12875,12714,4229,13948,2765,1230,1703,2981,998,6411
2008-2012,B11005_14_other_family,20656,1866,3687,4472,21903,30377,4004,221,683,21063,1058,4276,7422,81,2020,1783,884,3194,611,116,540,888,319,1101
2008-2012,"B11005_15_male_householder,_no_wife_present",4702,654,1067,1382,6860,8795,1834,69,173,7184,387,1388,2361,9,532,670,379,1164,280,0,168,289,52,405
2008-2012,"B11005_16_female_householder,_no_husband_present",15954,1212,2620,3090,15043,21582,2170,152,510,13879,671,2888,5061,72,1488,1113,505,2030,331,116,372,599,267,696
2008-2012,B11005_17_nonfamily_households,151267,7392,12719,23391,112566,101859,51181,1504,3923,112289,5852,23167,28825,1076,8146,7731,4408,34229,2622,1784,4805,3107,1015,5774
2008-2012,B11005_18_male_householder,69205,3499,5684,10421,45206,44489,25347,648,1665,50997,2689,11019,14146,534,3394,3484,2096,15825,1203,862,2135,1420,421,2947
2008-2012,B11005_19_female_householder,82062,3893,7035,12970,67360,57370,25834,856,2258,61292,3163,12148,14679,542,4752,4247,2312,18404,1419,922,2670,1687,594,2827
