estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5
2005-2009,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2005-2009,SEQUENCE,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034
2005-2009,LOGRECNO,0000007,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2005-2009,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2005-2009,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2005-2009,GEO_NAME,District of Columbia,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2005-2009,B11005_1_total,250723,29734,48971,81274,344099,297937,90303,5487,16590,368239,22705,91028,123757,3076,40690,39577,13638,62860,8433,4130,8903,11643,3786,19491
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,55490,12520,20497,31414,124160,110391,18125,1488,6653,133185,8110,40797,57572,902,18445,18983,4637,12170,2460,1407,1984,5270,1712,6923
2005-2009,B11005_3_family_households,54972,12411,20277,31259,123665,109383,18064,1488,6601,132604,8073,40641,57243,892,18307,18884,4581,12111,2460,1393,1949,5248,1693,6862
2005-2009,B11005_4_married-couple_family,21036,9552,13477,24326,94238,61567,13274,1108,5055,106403,6341,34861,42457,581,13174,14521,3325,7829,1957,1099,1031,3607,1204,5318
2005-2009,B11005_5_other_family,33936,2859,6800,6933,29427,47816,4790,380,1546,26201,1732,5780,14786,311,5133,4363,1256,4282,503,294,918,1641,489,1544
2005-2009,"B11005_6_male_householder,_no_wife_present",4604,706,1289,1614,5986,9816,1390,180,507,6384,583,1549,3828,118,1336,1219,303,1029,144,64,162,487,166,475
2005-2009,"B11005_7_female_householder,_no_husband_present",29332,2153,5511,5319,23441,38000,3400,200,1039,19817,1149,4231,10958,193,3797,3144,953,3253,359,230,756,1154,323,1069
2005-2009,B11005_8_nonfamily_households,518,109,220,155,495,1008,61,0,52,581,37,156,329,10,138,99,56,59,0,14,35,22,19,61
2005-2009,B11005_9_male_householder,224,56,151,137,303,507,40,0,41,433,13,87,269,10,125,66,56,20,0,14,35,22,19,48
2005-2009,B11005_10_female_householder,294,53,69,18,192,501,21,0,11,148,24,69,60,0,13,33,0,39,0,0,0,0,0,13
2005-2009,B11005_11_households_with_no_people_under_18_years,195233,17214,28474,49860,219939,187546,72178,3999,9937,235054,14595,50231,66185,2174,22245,20594,9001,50690,5973,2723,6919,6373,2074,12568
2005-2009,B11005_12_family_households,55063,10315,16650,26948,112854,87116,21138,2179,5821,123529,8575,25668,37891,1316,13454,13409,4621,15952,3061,1237,2101,3383,1219,6833
2005-2009,B11005_13_married-couple_family,35108,8786,13483,23146,93180,60010,17595,1972,5055,104588,7679,22598,31320,1223,11606,11656,3959,13088,2379,1040,1589,2871,968,5668
2005-2009,B11005_14_other_family,19955,1529,3167,3802,19674,27106,3543,207,766,18941,896,3070,6571,93,1848,1753,662,2864,682,197,512,512,251,1165
2005-2009,"B11005_15_male_householder,_no_wife_present",4773,429,1059,1245,6838,8407,1467,107,289,7029,327,971,2388,32,598,653,172,1118,350,36,145,211,60,478
2005-2009,"B11005_16_female_householder,_no_husband_present",15182,1100,2108,2557,12836,18699,2076,100,477,11912,569,2099,4183,61,1250,1100,490,1746,332,161,367,301,191,687
2005-2009,B11005_17_nonfamily_households,140170,6899,11824,22912,107085,100430,51040,1820,4116,111525,6020,24563,28294,858,8791,7185,4380,34738,2912,1486,4818,2990,855,5735
2005-2009,B11005_18_male_householder,64412,3312,5413,10811,42879,45218,25718,743,2060,52469,3048,11985,14211,445,4086,3461,2157,15307,1407,637,2032,1262,343,2744
2005-2009,B11005_19_female_householder,75758,3587,6411,12101,64206,55212,25322,1077,2056,59056,2972,12578,14083,413,4705,3724,2223,19431,1505,849,2786,1728,512,2991
