estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2013-2017,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2013-2017,SEQUENCE,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037
2013-2017,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2013-2017,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2013-2017,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2013-2017,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2013-2017,B11005_1_total,277985,31462,54988,90022,369242,306694,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,59794,11593,21395,32177,131500,103070,22849,1583,6546,144257,8425,57900,63419,727,16875,20089,4646,15676,2635,1747,3006,5064,2162,6997
2013-2017,B11005_3_family_households,59391,11420,21286,31850,130995,102366,22689,1533,6378,143412,8335,57608,63035,727,16721,19980,4607,15599,2585,1737,3006,5010,2153,6952
