estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2012-2016,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2012-2016,FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5
2012-2016,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2012-2016,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2012-2016,SEQUENCE,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037,0037
2012-2016,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2012-2016,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2012-2016,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2012-2016,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2012-2016,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2012-2016,B11005_1_total,276546,31479,54105,88995,367764,306711,100707,5591,16904,393358,23890,117073,138102,3247,43105,44311,14174,68063,8476,5301,10271,12430,4730,20634
2012-2016,B11005_2_households_with_one_or_more_people_under_18_years,60836,11745,20842,32445,131317,105293,22530,1565,6687,144821,8150,57154,63546,746,16996,19820,4841,15501,2621,1646,3074,5023,2132,7000
2012-2016,B11005_3_family_households,60441,11587,20742,32007,130774,104507,22340,1502,6523,144002,8065,56855,63060,746,16770,19714,4780,15388,2556,1635,3074,5014,2123,6910
2012-2016,B11005_4_married-couple_family,28498,8191,13518,23651,96424,55451,17323,953,4361,114868,6333,47496,48129,572,12456,14763,3049,10610,2028,1285,1518,3666,1574,4931
2012-2016,B11005_5_other_family,31943,3396,7224,8356,34350,49056,5017,549,2162,29134,1732,9359,14931,174,4314,4951,1731,4778,528,350,1556,1348,549,1979
2012-2016,"B11005_6_male_householder,_no_wife_present",5137,986,1394,2642,9178,11680,1398,104,772,8127,506,2580,4460,87,947,1240,391,1217,224,41,69,297,116,601
2012-2016,"B11005_7_female_householder,_no_husband_present",26806,2410,5830,5714,25172,37376,3619,445,1390,21007,1226,6779,10471,87,3367,3711,1340,3561,304,309,1487,1051,433,1378
2012-2016,B11005_8_nonfamily_households,395,158,100,438,543,786,190,63,164,819,85,299,486,0,226,106,61,113,65,11,0,9,9,90
2012-2016,B11005_9_male_householder,166,139,65,281,342,520,116,29,103,468,56,176,445,0,154,47,54,68,9,11,0,9,0,74
2012-2016,B11005_10_female_householder,229,19,35,157,201,266,74,34,61,351,29,123,41,0,72,59,7,45,56,0,0,0,9,16
2012-2016,B11005_11_households_with_no_people_under_18_years,215710,19734,33263,56550,236447,201418,78177,4026,10217,248537,15740,59919,74556,2501,26109,24491,9333,52562,5855,3655,7197,7407,2598,13634
2012-2016,B11005_12_family_households,60660,12118,18635,32212,125354,97653,24612,2148,6052,136737,9197,34587,43501,1509,16426,16253,5459,17655,3381,1631,2417,4462,1297,7606
2012-2016,B11005_13_married-couple_family,40209,10018,14963,26977,102015,64505,20817,1835,5366,113567,8256,29219,35248,1338,13812,14203,4452,13928,2656,1349,1824,3811,1081,6434
