estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2010-2014,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2010-2014,FILETYPE,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5,2014e5
2010-2014,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2010-2014,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2010-2014,SEQUENCE,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036,0036
2010-2014,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2010-2014,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2010-2014,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2010-2014,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2010-2014,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2010-2014,B11005_1_total,267415,31041,52269,87259,362608,305115,96264,5619,16436,391794,23162,110047,134737,3281,42280,42763,14324,65916,8480,4966,9849,12274,4526,20126
2010-2014,B11005_2_households_with_one_or_more_people_under_18_years,55345,11871,20650,31317,130245,108841,20120,1689,6466,144611,8063,54174,63025,780,17469,19377,4977,14546,2509,1707,2991,4978,2085,6735
2010-2014,B11005_3_family_households,55058,11836,20555,31080,129629,107747,20031,1652,6430,143707,7981,53944,62508,753,17250,19278,4950,14426,2439,1707,2991,4964,2058,6638
2010-2014,B11005_4_married-couple_family,24712,8443,12935,23628,95754,55428,15353,1189,4289,114538,6286,44655,46878,618,12591,14716,3262,9789,1892,1310,1540,3456,1453,4523
